WKT,nombre,descripción,
POINT (-77.0473321 38.9065342),Nodo 448,,
POINT (-77.0475145 38.9061585),Nodo 449,,
POINT (-77.0469915 38.9058642),Nodo 450,,
POINT (-77.0487856 38.906431),Nodo 451,,
POINT (-77.0493282 38.9085667),Nodo 452,,
POINT (-77.0488347 38.908525),Nodo 453,,
POINT (-77.0488347 38.9079281),Nodo 454,,
POINT (-77.0482822 38.9079281),Nodo 455,,
POINT (-77.0467158 38.9079114),Nodo 456,,
POINT (-77.0466299 38.9085959),Nodo 457,,
POINT (-77.0457931 38.9086168),Nodo 458,,
POINT (-77.0449133 38.9085834),Nodo 459,,
POINT (-77.044452 38.9086001),Nodo 460,,
POINT (-77.0449133 38.908095),Nodo 461,,
POINT (-77.0449133 38.9079114),Nodo 462,,
POINT (-77.0435025 38.9079114),Nodo 463,,
POINT (-77.0435219 38.9090129),Nodo 464,,
POINT (-77.0437818 38.909083),Nodo 465,,
POINT (-77.0440292 38.9092278),Nodo 466,,
POINT (-77.0442399 38.9095656),Nodo 467,,
POINT (-77.0442868 38.9097033),Nodo 468,,
POINT (-77.0442144 38.9097952),Nodo 469,,
POINT (-77.0438441 38.9092153),Nodo 470,,
POINT (-77.0441384 38.9088997),Nodo 471,,
POINT (-77.0501301 38.9044923),Nodo 472,,
POINT (-77.0493688 38.9096435),Nodo 473,,
POINT (-77.0488216 38.9096435),Nodo 474,,
POINT (-77.048768 38.9092136),Nodo 475,,
POINT (-77.047738 38.9091259),Nodo 476,,
POINT (-77.0477219 38.9085707),Nodo 477,,
POINT (-77.047738 38.9096268),Nodo 478,,
POINT (-77.0466594 38.9096503),Nodo 479,,
POINT (-77.0457835 38.9096445),Nodo 480,,
POINT (-77.0449038 38.9096445),Nodo 481,,
POINT (-77.0444193 38.9096518),Nodo 482,,
POINT (-77.0441358 38.9099676),Nodo 483,,
POINT (-77.0439199 38.9101606),Nodo 484,,
POINT (-77.0436333 38.9102504),Nodo 485,,
POINT (-77.0435616 38.9103058),Nodo 486,,
POINT (-77.0433796 38.9102672),Nodo 487,,
POINT (-77.0430942 38.9102153),Nodo 488,,
POINT (-77.0427768 38.9103612),Nodo 489,,
POINT (-77.0429663 38.9101443),Nodo 490,,
POINT (-77.0430407 38.9100746),Nodo 491,,
POINT (-77.0426332 38.9097394),Nodo 492,,
POINT (-77.0423006 38.9096465),Nodo 493,,
POINT (-77.0426613 38.9095557),Nodo 494,,
POINT (-77.0427083 38.9094649),Nodo 495,,
POINT (-77.042779 38.9092985),Nodo 496,,
POINT (-77.0429453 38.9091602),Nodo 497,,
POINT (-77.0429467 38.909012),Nodo 498,,
POINT (-77.0430734 38.9090256),Nodo 499,,
POINT (-77.0431096 38.9090882),Nodo 500,,
POINT (-77.0431418 38.9091602),Nodo 501,,
POINT (-77.0431706 38.90893),Nodo 502,,
POINT (-77.0425022 38.9078834),Nodo 503,,
POINT (-77.0423366 38.907897),Nodo 504,,
POINT (-77.041695 38.9090213),Nodo 505,,
POINT (-77.0416776 38.9096432),Nodo 506,,
POINT (-77.0384951 38.9100419),Nodo 508,,
POINT (-77.0416773 38.9100421),Nodo 507,,
POINT (-77.0385056 38.9096299),Nodo 509,,
POINT (-77.0384841 38.9086824),Nodo 510,,
POINT (-77.0385153 38.9079072),Nodo 511,,
POINT (-77.0366379 38.9086906),Nodo 512,,
POINT (-77.0365773 38.9088138),Nodo 513,,
POINT (-77.0364684 38.9088203),Nodo 514,,
POINT (-77.0364114 38.9086946),Nodo 515,,
POINT (-77.0363498 38.9074625),Nodo 516,,
POINT (-77.0361028 38.9072826),Nodo 517,,
POINT (-77.0363021 38.9070488),Nodo 518,,
POINT (-77.0367355 38.9070408),Nodo 519,,
POINT (-77.0371994 38.9096328),Nodo 520,,
POINT (-77.0365671 38.909637),Nodo 521,,
POINT (-77.036454 38.9096404),Nodo 522,,
POINT (-77.0345576 38.9096189),Nodo 523,,
POINT (-77.0319727 38.9088323),Nodo 524,,
POINT (-77.0319668 38.9072401),Nodo 525,,
POINT (-77.0319514 38.9067191),Nodo 526,,
POINT (-77.0319868 38.9062075),Nodo 527,,
POINT (-77.0318514 38.9063024),Nodo 528,,
POINT (-77.0316662 38.906016),Nodo 529,,
POINT (-77.0314496 38.9065073),Nodo 530,,
POINT (-77.0311634 38.906988),Nodo 531,,
POINT (-77.0310133 38.9072467),Nodo 532,,
POINT (-77.02964 38.9072258),Nodo 533,,
POINT (-77.030236 38.9085731),Nodo 534,,
POINT (-77.0296077 38.9085699),Nodo 535,,
POINT (-77.0296295 38.9064373),Nodo 536,,
POINT (-77.0281168 38.9064498),Nodo 537,,
POINT (-77.028106 38.9072304),Nodo 538,,
